chip_affymetrix_chip,pp_number_of_probe_pairs,a_fy4_a,alpha_fy5_alpha,gal_gal,heat_heat,rel_alpha_fy5_alpha,rel_gal_gal,rel_heat_heat,avg_abund,median_deviation_of_log_fc_gal,sig_gal,sig_and_fc_gal,median_deviation_of_log_fc_fy5_alpha,sig_fy5_alpha,sig_and_fc_fy5_alpha,median_deviation_of_log_fc_heat,sig_heat,sig_and_fc_heat,thrshld_1=below_detection_fy4_a,thrshld_1=below_detection_fy5_alpha,thrshld_1=below_detection_gal,thrshld_1=below_detection_heat,thrshld_gal,thrshld_fy5_alpha,thrshld_heat,below_threshold_in_all_conditions,class
2,29,2.86,8.27,4.07,5.08,0.17,-0.12,-0.09,5.07,0.21,0.6,0,0.16,1.1,0,0.15,0.6,0,,,,,,,,0,GO0003735@GO0005843@GO0006412@GO0000723
3,21,1.57,2.13,2.34,2.31,0.17,0.15,0.19,2.09,0.09,1.7,0,0.09,1.9,0,0.1,1.9,0,,,,,,,,0,GO0008810@GO0005933@GO0009277@GO0000910
3,20,0.32,0.48,0.66,0.47,0.17,0.34,0.23,0.48,0.11,3.1,1,0.11,1.5,0,0.12,1.92,1,,,,,,,,0,GO0000906@GO0005634@GO0005737@GO0009231
1,21,0.41,1.08,0.46,0.64,0.16,0,-0.09,0.65,0.05,0,0,0.14,1.1,0,0.09,1,0,,,,,5,,,0,GO0016455@GO0016592@GO0006366@GO0000723
3,34,1.48,1.54,2.52,1.93,0.16,0.27,0.22,1.87,0.1,2.7,1,0.14,1.1,0,0.15,1.47,1,,,,,,,,0,GO0003735@GO0005842@GO0006412
3,20,0.18,0.28,0.12,0.44,0.16,-0.22,0.2,0.26,0.14,1.6,1,0.21,0.8,0,0.14,1.43,1,,,,,,2,,0,GO0050839@GO0009277@GO0000752
3,20,0.47,0.68,0.7,0.86,0.16,0.13,0.21,0.68,0.11,1.2,0,0.12,1.3,0,0.1,2.1,1,,,,,,,,0,GO0004175@GO0019774@GO0006511
0,21,5.12,7.72,8.36,5.04,0.15,0.21,-0.01,6.56,0.08,2.6,1,0.07,2.1,0,0.11,0.09,0,,,,,,,,0,GO0003735@GO0005842@GO0006412
2,41,2.25,3.36,1.27,2.04,0.15,-0.19,-0.05,2.23,0.13,1.5,0,0.11,1.4,0,0.17,0.29,0,,,,,,,,0,GO0003735@GO0005843@GO0006412@GO0000028
2,20,4.37,6.39,3.19,3.25,0.15,-0.26,-0.1,4.3,0.14,1.9,1,0.12,1.3,0,0.14,0.71,0,,,,,,,,0,GO0003735@GO0003723@GO0005842@GO0006412@GO0000027
3,21,0.42,0.43,0.49,0.7,0.15,0.17,0.37,0.51,0.16,1.1,0,0.12,1.3,0,0.13,2.85,1,,,,,2,,,0,GO0005515@GO0005739@GO0030176@GO0030433@GO0045184
3,20,0.29,0.4,0.33,0.49,0.15,0.1,0.22,0.38,0.23,0.4,0,0.11,1.4,0,0.15,1.47,1,,,,,,,,0,GO0003743@GO0005085@GO0005851@GO0032045@GO0006446
2,19,0.84,2.28,0.97,1.38,0.14,-0.06,-0.02,1.37,0.09,0.7,0,0.19,0.7,0,0.25,0.08,0,,,,,,,,0,GO0003735@GO0005843@GO0005739@GO0006412
3,20,1.65,2.6,2.59,2.87,0.14,0.13,0.24,2.43,0.11,1.2,0,0.12,1.2,0,0.14,1.71,1,,,,,,,,0,GO0004186@GO0000328@GO0000324@GO0005783@GO0005737@GO0007039
3,20,0.48,0.67,0.62,0.73,0.14,0.03,-0.02,0.63,0.33,0.1,0,0.25,0.6,0,0.26,0.08,0,,,,,,,,0,GO0003674@GO0005739@GO0008150
1,26,1.35,2.2,0.73,1.46,0.13,0.14,-0.03,1.44,0.18,0.8,0,0.18,0.7,0,0.19,0.16,0,,,,,,,,0,GO0003735@GO0005842@GO0006412
3,20,0.1,0.16,0.1,0.08,0.13,0,0,0.11,0.19,0,0,0.18,0.7,0,0.24,0,0,1,,,,4,2,4,0,GO0042134@GO0005732@GO0032040@GO0006365@GO0030490@GO0000154@GO0042254
3,20,4.35,9.95,7.86,6.05,0.13,0.07,0,7.05,0.12,0.6,0,0.12,1.1,0,0.09,0,0,,,,,,,,0,GO0003755@GO0005634@GO0005739@GO0005737@GO0009092@GO0006325
3,21,0.45,0.74,0.57,0.93,0.13,0.07,0.17,0.67,0.08,0.9,0,0.13,1,0,0.14,1.21,0,,,,,,,,0,GO0004749@GO0005737@GO0000162@GO0000105@GO0006189@GO0006207@GO0006166@GO0000723
3,21,1.27,1.24,1.21,0.99,0.13,0.18,0.05,1.18,0.13,1.4,0,0.24,0.5,0,0.12,0.42,0,,,,,,,,0,GO0003743@GO0005840@GO0016281@GO0005634@GO0005737@GO0000184@GO0006413@GO0000074
3,20,1.16,1.62,1.59,0.81,0.13,0.11,-0.07,1.3,0.12,0.9,0,0.07,1.9,0,0.16,0.44,0,,,,,,,,0,GO0003674@GO0009277@GO0006950
3,20,0.65,0.75,0.74,0.58,0.13,0.08,-0.09,0.68,0.09,0.9,0,0.13,1,0,0.15,0.6,0,,,,,,,,0,GO0045182@GO0005845@GO0017148
0,21,0.28,0.5,0.55,0.36,0.12,0.18,0,0.42,0.11,1.6,0,0.05,2.4,0,0.1,0,0,,,,,,,5,0,GO0031386@GO0005634@GO0005940@GO0016925
1,21,0.88,1.37,1.32,1.06,0.12,0,0.03,1.16,0.06,0,0,0.11,1.1,0,0.11,0.27,0,,,,,,,,0,GO0051082@GO0005840@GO0005739@GO0005737@GO0006457@GO0006450
1,29,0.39,0.61,0.66,0.98,0.12,0.14,0.27,0.66,0.19,0.7,0,0.17,0.7,0,0.16,1.69,1,,,,,,,,0,GO0004175@GO0019774@GO0006511@GO0030437@GO0006950
2,20,1.33,2.24,0.68,1.53,0.12,-0.23,0.02,1.45,0.16,1.4,1,0.1,1.2,0,0.12,0.17,0,,,,,,,,0,GO0009922@GO0005783@GO0005789@GO0030497@GO0030148@GO0000723@GO0006892
3,21,2.73,4.46,4.22,3.77,0.12,0.09,0.07,3.8,0.11,0.8,0,0.24,0.5,0,0.11,0.64,0,,,,,,,,0,GO0003785@GO0000142@GO0030478@GO0007120@GO0007121@GO0008154@GO0045010@GO0006970@GO0046907
0,20,2.42,4.59,2.31,2.23,0.11,-0.05,-0.03,2.89,0.06,0.8,0,0.09,1.2,0,0.06,0.5,0,,,,,,,,0,GO0003735@GO0005842@GO0006412
1,20,0.56,0.64,0.39,1,0.11,0.03,0.23,0.65,0.2,0.2,0,0.18,0.6,0,0.16,1.44,1,,,,,,,,0,GO0004826@GO0009328@GO0005737@GO0006432
1,20,0.4,0.55,0.7,0.24,0.11,0.26,-0.2,0.47,0.16,1.6,1,0.1,1.1,0,0.1,2,1,,,,,,,,0,GO0015088@GO0000329@GO0015677@GO0015680
1,20,0.16,0.2,0.21,0.14,0.11,0.08,0,0.18,0.12,0.7,0,0.1,1.1,0,0.18,0,0,,,,,,2,5,0,GO0015559@GO0005887@GO0010107@GO0006855
3,20,0.37,0.56,1.89,0.93,0.11,0.6,0.2,0.94,0.19,3.2,1,0.16,0.7,0,0.19,1.05,1,,,,,,,,0,GO0008106@GO0005625@GO0006066@GO0006081
3,20,0.14,0.15,0.19,0.26,0.11,0.03,0.27,0.19,0.25,0.1,0,0.2,0.6,0,0.13,2.08,1,,,,,2,2,,0,GO0003873@GO0005737@GO0006003@GO0006110
3,20,0.12,0.21,0.24,0.33,0.11,0.01,0.23,0.23,0.25,0,0,0.22,0.5,0,0.13,1.77,1,,,,,,,2,0,GO0016887@GO0005783@GO0007047
3,66,1.2,1.65,1.14,1.08,0.11,-0.11,-0.16,1.27,0.13,0.8,0,0.1,1.1,0,0.14,1.14,0,,,,,,,,0,GO0003735@GO0005842@GO0006412@GO0042254
3,20,0.12,0.24,0.22,0.29,0.11,0.13,0.12,0.22,0.15,0.9,0,0.24,0.5,0,0.19,0.63,0,,,,,,2,,0,GO0008559@GO0005342@GO0005886@GO0019541@GO0015849
1,20,0.55,1.02,0.16,0.99,0.1,-0.43,0.21,0.68,0.25,1.7,1,0.08,1.3,0,0.15,1.4,1,,,,,,,,0,GO0005515@GO0030126@GO0006888@GO0006890
1,21,0.1,0.21,0.16,0.25,0.1,0,0.07,0.18,0.09,0,0,0.15,0.7,0,0.23,0.3,0,,,,,5,2,,0,GO0004489@GO0003735@GO0005762@GO0005739@GO0005737@GO0000097@GO0006555@GO0006412
1,20,0.4,0.56,0.28,0.94,0.1,-0.1,0.27,0.55,0.21,0.5,0,0.17,0.6,0,0.17,1.59,1,,,,,,,,0,GO0004175@GO0019773@GO0006511@GO0030447
1,20,3.39,5.46,3.79,3.35,0.1,0.09,-0.25,4,0.15,0.6,0,0.2,0.5,0,0.11,2.27,1,,,,,,,,0,GO0003735@GO0005843@GO0006412
2,21,4.61,6.54,2.7,7.27,0.1,-0.23,0.08,5.28,0.19,1.2,1,0.07,1.4,0,0.17,0.47,0,,,,,,,,0,GO0003674@GO0005741@GO0009277@GO0001308@GO0007005
2,20,0.6,1.41,0.33,1.28,0.1,0,0.23,0.91,0.13,0,0,0.26,0.4,0,0.16,1.44,1,,,,,5,2,,0,GO0004478@GO0005737@GO0006555
2,21,4.04,7.95,6.35,6.44,0.1,0.08,0.14,6.2,0.14,0.6,0,0.14,0.7,0,0.24,0.58,0,,,,,,,,0,GO0008379@GO0051920@GO0051082@GO0005737@GO0006979@GO0030503
3,56,1.8,1.97,1.74,1.52,0.1,0.07,-0.01,1.76,0.15,0.5,0,0.17,0.6,0,0.22,0.05,0,,,,,,,,0,GO0003735@GO0005842@GO0006412
3,40,7.79,6.78,8.19,7.15,0.1,0.11,-0.02,7.48,0.15,0.7,0,0.18,0.6,0,0.12,0.17,0,,,,,,,,0,GO0003735@GO0005842@GO0006412
3,21,9.79,15.1,11.5,9.28,0.1,-0.05,-0.11,11.42,0.12,0.4,0,0.18,0.6,0,0.11,1,0,,,,,,,,0,GO0003735@GO0003723@GO0005842@GO0006412@GO0000027
1,21,0.1,0.13,0.18,0.13,0.09,0.11,0.15,0.14,0.12,0.9,0,0.07,1.3,0,0.15,1,0,,,,,,,,0,GO0004028@GO0005739@GO0006118@GO0019413
1,21,0.12,0.16,0.2,0.18,0.09,0,0.16,0.17,0.16,0,0,0.22,0.4,0,0.14,1.14,0,,,,,5,,,0,GO0005388@GO0015410@GO0005509@GO0000139@GO0006486@GO0006828@GO0006816@GO0045045
1,41,1.38,1.64,2.3,1.27,0.09,0.14,-0.04,1.65,0.14,1,0,0.22,0.4,0,0.15,0.27,0,,,,,,,,0,GO0003735@GO0005843@GO0006412@GO0000028
1,20,0.11,0.19,0.21,0.24,0.09,0.12,0.15,0.19,0.14,0.9,0,0.07,1.3,0,0.17,0.88,0,,,,,2,,2,0,GO0004749@GO0005737@GO0000162@GO0000105@GO0006189@GO0006207@GO0006166@GO0042254@GO0000723@GO0008361
1,20,0.57,0.96,0.4,0.6,0.09,0,-0.01,0.63,0.14,0,0,0.09,1,0,0.18,0.06,0,,,,,5,,,0,GO0004579@GO0008250@GO0018279
2,20,0.4,0.43,0.3,0.2,0.09,0,0,0.32,0.13,0,0,0.33,0.3,0,0.17,0,0,1,,1,1,5,2,5,0,GO0004933@GO0005887@GO0000750
2,20,0.4,0.63,0.36,0.82,0.09,0,0.14,0.54,0.13,0,0,0.3,0.3,0,0.28,0.5,0,1,,,,5,,,0,GO0017061@GO0005737@GO0019509@GO0006537
3,20,0.1,0.24,0.28,0.25,0.09,0.13,0.04,0.23,0.12,1.1,0,0.19,0.5,0,0.28,0.14,0,1,,,,2,,,0,GO0000175@GO0003723@GO0000176@GO0000177@GO0006402@GO0006365@GO0042255
3,50,3.03,3.22,3.27,2.24,0.09,0.02,-0.2,2.94,0.13,0.2,0,0.18,0.5,0,0.12,1.67,1,,,,,,,,0,GO0003735@GO0005843@GO0006412
1,20,0.17,0.26,0.2,0.27,0.08,0,0.05,0.23,0.05,0,0,0.06,1.3,0,0.16,0.31,0,,,,,5,,2,0,GO0016887@GO0005830@GO0005829@GO0006448
2,55,1.33,2.85,1.27,2.5,0.08,0,0.1,1.99,0.18,0,0,0.17,0.5,0,0.17,0.59,0,,,,,5,,2,0,GO0003735@GO0005842@GO0006412
2,20,1.59,2.25,1.25,2.25,0.08,0,0.07,1.84,0.17,0,0,0.11,0.7,0,0.17,0.41,0,,,,,5,,2,0,GO0003674@GO0030134@GO0006888
3,21,0.54,0.58,2.43,0.87,0.08,0.45,0.07,1.11,0.22,2,1,0.18,0.4,0,0.14,0.5,0,,,,,,,,0,GO0004129@GO0005751@GO0005739@GO0006123
3,20,0.29,0.24,0.35,0.6,0.08,0.09,0.27,0.37,0.18,0.5,0,0.19,0.4,0,0.17,1.59,1,,,,,,,,0,GO0008320@GO0005634@GO0005737@GO0006606@GO0006406
3,20,0.35,0.54,0.56,0.94,0.08,0.05,0.13,0.6,0.15,0.3,0,0.2,0.4,0,0.17,0.76,0,,,,,,2,,0,GO0008565@GO0005742@GO0005739@GO0005741@GO0045040@GO0030150
3,20,0.16,0.26,0.29,0.36,0.08,0.01,0.23,0.27,0.27,0,0,0.14,0.6,0,0.26,0.88,0,,,,,2,2,2,0,GO0005198@GO0005885@GO0005829@GO0000001@GO0000226@GO0030036
3,20,0.52,0.58,0.8,0.69,0.08,0.12,0.04,0.65,0.11,1.1,0,0.2,0.4,0,0.06,0.67,0,,,,,,,,0,GO0003674@GO0005739@GO0008150
3,21,0.1,0.15,0.17,0.11,0.08,0.03,-0.08,0.14,0.17,0.2,0,0.19,0.4,0,0.2,0.4,0,1,,,,2,2,,0,GO0003674@GO0005842@GO0005730@GO0006364@GO0000027@GO0042254@GO0042273
1,21,1.02,1.05,0.91,1.14,0.07,0.11,0.16,1.03,0.2,0.6,0,0.26,0.3,0,0.18,0.89,0,,,,,,,,0,GO0003674@GO0031310@GO0042144
1,21,1.24,1.12,2.5,2.29,0.07,0.21,0.1,1.79,0.22,1,0,0.12,0.6,0,0.17,0.59,0,,,,,,,,0,GO0003674@GO0030134@GO0005783@GO0016021@GO0016050@GO0006888@GO0006621
2,20,5.23,7.14,1.26,3.89,0.07,-0.3,0,4.38,0.3,1,1,0.09,0.8,0,0.19,0,0,,,,,,2,5,0,GO0003735@GO0005843@GO0006412
3,21,0.25,0.33,0.26,0.46,0.07,-0.02,0.22,0.33,0.13,0.2,0,0.09,0.8,0,0.08,2.75,1,,,,,,2,,0,GO0015923@GO0046658@GO0009272@GO0007124@GO0007117
3,20,7.05,7.67,6.58,6.59,0.07,0.05,-0.12,6.97,0.13,0.4,0,0.18,0.4,0,0.11,1.09,0,,,,,,,,0,GO0003735@GO0030688@GO0005843@GO0006412@GO0006974
3,20,0.1,0.17,0.17,0.15,0.07,0.08,0.02,0.15,0.26,0.3,0,0.13,0.5,0,0.22,0.09,0,1,,,,,,2,0,GO0004817@GO0005840@GO0005737@GO0006534@GO0006423@GO0042254
3,21,1.35,1.63,1.3,1.36,0.07,0.07,0.12,1.41,0.07,1,0,0.17,0.4,0,0.13,0.92,0,,,,,,,2,0,GO0003899@GO0005665@GO0005666@GO0005736@GO0006360@GO0006366@GO0006383
3,20,0.1,0.21,0.14,0.25,0.07,0,0.11,0.18,0.31,0,0,0.18,0.4,0,0.26,0.42,0,1,,,,4,2,,0,GO0003674@GO0005933@GO0005935@GO0005737@GO0006897
3,20,0.1,0.16,0.11,0.13,0.07,0,0.06,0.13,0.14,0,0,0.12,0.6,0,0.25,0.24,0,1,,,,4,2,2,0,GO0000031@GO0005624@GO0006487@GO0007047
3,21,0.99,1.06,0.93,0.67,0.07,-0.02,-0.03,0.91,0.15,0.1,0,0.18,0.4,0,0.14,0.21,0,,,,,,,,0,GO0043023@GO0005634@GO0005730@GO0005737@GO0006365@GO0030489@GO0042273@GO0000054
3,20,0.33,0.31,0.6,0.47,0.07,0.18,0,0.43,0.12,1.5,0,0.14,0.5,0,0.11,0,0,,,,,,,4,0,GO0004821@GO0005739@GO0005737@GO0006427
0,20,2.24,1.79,2.23,0.92,0.06,0.11,-0.17,1.8,0.09,1.2,0,0.09,0.7,0,0.12,1.42,0,,,,,,,,0,GO0003849@GO0005634@GO0005737@GO0009073
0,20,3.84,4.11,7.41,4.11,0.06,0.13,0.04,4.87,0.11,1.2,0,0.06,1,0,0.1,0.4,0,,,,,,,,0,GO0003924@GO0005798@GO0005829@GO0000723@GO0006888@GO0006891@GO0006893
0,21,0.1,0.12,0.11,0.1,0.06,-0.05,0,0.1,0.05,1,0,0.21,0.3,0,0.02,0,0,1,,,1,,,5,0,GO0004842@GO0005634@GO0005730@GO0000209@GO0006513@GO0006997@GO0007067@GO0006913@GO0008361
1,20,1.33,1.02,1.42,0.9,0.06,0.07,-0.08,1.17,0.19,0.4,0,0.11,0.5,0,0.21,0.38,0,,,,,,,,0,GO0008536@GO0005635@GO0006606
1,41,3.81,4.11,4.26,2.99,0.06,0.01,-0.17,3.79,0.17,0.1,0,0.17,0.4,0,0.16,1.06,0,,,,,,,,0,GO0003735@GO0005842@GO0006412
1,21,0.11,0.15,0.51,0.43,0.06,0.35,0.32,0.3,0.23,1.5,1,0.07,0.9,0,0.22,1.45,1,,,,,2,2,2,0,GO0003755@GO0005575@GO0008150
1,20,0.94,1.16,1.05,0.87,0.06,0,-0.05,1.01,0.1,0,0,0.1,0.6,0,0.1,0.5,0,,,,,5,,,0,GO0051082@GO0005737@GO0006412@GO0006450
2,41,0.41,0.58,0.36,0.6,0.06,0,0.02,0.49,0.13,0,0,0.16,0.4,0,0.19,0.11,0,,,,,5,,2,0,GO0003938@GO0005737@GO0008150
3,20,0.26,0.25,0.88,0.41,0.06,0.41,0.19,0.45,0.17,2.4,1,0.14,0.4,0,0.1,1.9,0,,,,,2,2,2,0,GO0008234@GO0003676@GO0030528@GO0005739@GO0005737@GO0046677
3,20,0.36,0.58,0.87,0.92,0.06,0.21,0.19,0.68,0.12,1.8,1,0.17,0.4,0,0.15,1.27,0,,,,,,,,0,GO0008565@GO0005744@GO0005739@GO0030150
3,20,0.1,0.18,0.23,0.2,0.06,0,-0.01,0.18,0.22,0,0,0.17,0.4,0,0.21,0.05,0,1,,,,4,2,,0,GO0000175@GO0030015@GO0005737@GO0006368@GO0000289@GO0006357
3,20,0.19,0.24,0.21,0.48,0.06,0.07,0.33,0.28,0.1,0.7,0,0.17,0.4,0,0.17,1.94,1,,,,,2,,,0,GO0004638@GO0005737@GO0006189@GO0006144
3,64,1.87,2.69,2.54,2.07,0.06,0.06,-0.01,2.29,0.1,0.6,0,0.11,0.5,0,0.08,0.13,0,,,,,,,,0,GO0003735@GO0005842@GO0006412
1,20,4.53,4.95,3.95,1.99,0.05,0.01,-0.34,3.86,0.21,0,0,0.16,0.3,0,0.13,2.62,1,,,,,,,,0,GO0000006@GO0005887@GO0006830
1,21,2.26,2.95,6.31,2.21,0.05,0.33,0.09,3.43,0.18,1.8,1,0.21,0.2,0,0.13,0.69,0,,,,,,,,0,GO0005324@GO0000062@GO0005634@GO0005737@GO0006631@GO0015909
1,21,0.2,0.37,0.14,0.33,0.05,-0.16,0.05,0.26,0.14,1.1,0,0.14,0.4,0,0.22,0.23,0,,,,,,,2,0,GO0004642@GO0005737@GO0006189
1,20,0.37,0.59,1.38,0.11,0.05,0.41,-0.6,0.61,0.09,4.6,1,0.08,0.6,0,0.19,3.26,1,,,,,,,1,0,GO0016966@GO0005739@GO0005759@GO0005737@GO0005829@GO0006950
1,21,0.13,0.17,0.2,0.24,0.05,0.06,0.13,0.19,0.08,0.8,0,0.04,1.3,0,0.13,1,0,,,,,,,,0,GO0004175@GO0030674@GO0008540@GO0005634@GO0005783@GO0005737@GO0006511
1,20,6.8,6.52,4.94,16,0.05,-0.05,0.43,8.55,0.21,0.2,0,0.11,0.5,0,0.22,1.95,1,,,,,,,,0,GO0005507@GO0005829@GO0046688
2,21,0.8,1.3,0.7,1.16,0.05,0,-0.06,0.99,0.14,0,0,0.23,0.2,0,0.11,0.55,0,,,,,5,,,0,GO0046933@GO0005754@GO0005739@GO0005625@GO0015986@GO0001321
2,40,0.51,0.84,0.34,0.37,0.05,-0.18,0,0.52,0.09,2,0,0.32,0.2,0,0.17,0,0,,,,,,,5,0,GO0003746@GO0005840@GO0005853@GO0005739@GO0006414
2,20,0.76,0.93,0.57,2.35,0.05,0,0.39,1.15,0.13,0,0,0.13,0.4,0,0.13,3,1,,,,,5,2,2,0,GO0003674@GO0005634@GO0008150
3,20,0.14,0.28,0.26,0.13,0.05,0.04,-0.02,0.2,0.18,0.2,0,0.13,0.4,0,0.13,0.15,0,,,,,2,,,0,GO0004696@GO0004712@GO0005625@GO0006468@GO0006303@GO0000070@GO0007126@GO0030437
3,20,0.51,0.54,0.57,0.96,0.05,0.12,0.3,0.65,0.15,0.8,0,0.14,0.4,0,0.12,2.5,1,,,,,,,2,0,GO0004175@GO0019773@GO0005739@GO0005829@GO0006511
